dt	dhsl	Mode	pCa
0.0005	0	-2	6.23406
0.0005	0	-2	6.23396
0.0005	0	-2	6.23392
0.0005	0	-2	6.23391
0.0005	0	-2	6.23395
0.0005	0	-2	6.23402
0.0005	0	-2	6.23413
0.0005	0	-2	6.23427
0.0005	0	-2	6.23442
0.0005	0	-2	6.23459
0.0005	0	-2	6.23477
0.0005	0	-2	6.23495
0.0005	0	-2	6.23445
0.0005	0	-2	6.23396
0.0005	0	-2	6.23348
0.0005	0	-2	6.23301
0.0005	0	-2	6.23257
0.0005	0	-2	6.23217
0.0005	0	-2	6.23180
0.0005	0	-2	6.23147
0.0005	0	-2	6.23120
0.0005	0	-2	6.23097
0.0005	0	-2	6.23080
0.0005	0	-2	6.23070
0.0005	0	-2	6.23065
0.0005	0	-2	6.23066
0.0005	0	-2	6.23073
0.0005	0	-2	6.23086
0.0005	0	-2	6.23104
0.0005	0	-2	6.23128
0.0005	0	-2	6.23156
0.0005	0	-2	6.23189
0.0005	0	-2	6.23177
0.0005	0	-2	6.23169
0.0005	0	-2	6.23165
0.0005	0	-2	6.23167
0.0005	0	-2	6.23173
0.0005	0	-2	6.23185
0.0005	0	-2	6.23203
0.0005	0	-2	6.23225
0.0005	0	-2	6.23253
0.0005	0	-2	6.23285
0.0005	0	-2	6.23322
0.0005	0	-2	6.23363
0.0005	0	-2	6.23408
0.0005	0	-2	6.23455
0.0005	0	-2	6.23505
0.0005	0	-2	6.23556
0.0005	0	-2	6.23608
0.0005	0	-2	6.23660
0.0005	0	-2	6.23711
0.0005	0	-2	6.23760
0.0005	0	-2	6.23742
0.0005	0	-2	6.23723
0.0005	0	-2	6.23701
0.0005	0	-2	6.23678
0.0005	0	-2	6.23653
0.0005	0	-2	6.23629
0.0005	0	-2	6.23603
0.0005	0	-2	6.23578
0.0005	0	-2	6.23553
0.0005	0	-2	6.23529
0.0005	0	-2	6.23505
0.0005	0	-2	6.23481
0.0005	0	-2	6.23459
0.0005	0	-2	6.23437
0.0005	0	-2	6.23415
0.0005	0	-2	6.23394
0.0005	0	-2	6.23374
0.0005	0	-2	6.23353
0.0005	0	-2	6.23331
0.0005	0	-2	6.23310
0.0005	0	-2	6.23230
0.0005	0	-2	6.23150
0.0005	0	-2	6.23071
0.0005	0	-2	6.22993
0.0005	0	-2	6.22917
0.0005	0	-2	6.22844
0.0005	0	-2	6.22774
0.0005	0	-2	6.22709
0.0005	0	-2	6.22647
0.0005	0	-2	6.22590
0.0005	0	-2	6.22538
0.0005	0	-2	6.22491
0.0005	0	-2	6.22449
0.0005	0	-2	6.22412
0.0005	0	-2	6.22379
0.0005	0	-2	6.22351
0.0005	0	-2	6.22328
0.0005	0	-2	6.22308
0.0005	0	-2	6.22291
0.0005	0	-2	6.22278
0.0005	0	-2	6.22211
0.0005	0	-2	6.22148
0.0005	0	-2	6.22088
0.0005	0	-2	6.22032
0.0005	0	-2	6.21979
0.0005	0	-2	6.21931
0.0005	0	-2	6.21888
0.0005	0	-2	6.21849
0.0005	0	-2	6.21815
0.0005	0	-2	6.21785
0.0005	0	-2	6.21760
0.0005	0	-2	6.21740
0.0005	0	-2	6.21723
0.0005	0	-2	6.21710
0.0005	0	-2	6.21701
0.0005	0	-2	6.21694
0.0005	0	-2	6.21690
0.0005	0	-2	6.21687
0.0005	0	-2	6.21685
0.0005	0	-2	6.21684
0.0005	0	-2	6.21619
0.0005	0	-2	6.21554
0.0005	0	-2	6.21491
0.0005	0	-2	6.21429
0.0005	0	-2	6.21369
0.0005	0	-2	6.21312
0.0005	0	-2	6.21259
0.0005	0	-2	6.21209
0.0005	0	-2	6.21164
0.0005	0	-2	6.21123
0.0005	0	-2	6.21086
0.0005	0	-2	6.21055
0.0005	0	-2	6.21028
0.0005	0	-2	6.21005
0.0005	0	-2	6.20988
0.0005	0	-2	6.20975
0.0005	0	-2	6.20966
0.0005	0	-2	6.20961
0.0005	0	-2	6.20959
0.0005	0	-2	6.20960
0.0005	0	-2	6.20911
0.0005	0	-2	6.20866
0.0005	0	-2	6.20823
0.0005	0	-2	6.20785
0.0005	0	-2	6.20750
0.0005	0	-2	6.20720
0.0005	0	-2	6.20695
0.0005	0	-2	6.20675
0.0005	0	-2	6.20660
0.0005	0	-2	6.20650
0.0005	0	-2	6.20644
0.0005	0	-2	6.20643
0.0005	0	-2	6.20646
0.0005	0	-2	6.20653
0.0005	0	-2	6.20664
0.0005	0	-2	6.20677
0.0005	0	-2	6.20693
0.0005	0	-2	6.20711
0.0005	0	-2	6.20729
0.0005	0	-2	6.20748
0.0005	0	-2	6.20706
0.0005	0	-2	6.20664
0.0005	0	-2	6.20622
0.0005	0	-2	6.20582
0.0005	0	-2	6.20543
0.0005	0	-2	6.20507
0.0005	0	-2	6.20474
0.0005	0	-2	6.20443
0.0005	0	-2	6.20416
0.0005	0	-2	6.20392
0.0005	0	-2	6.20372
0.0005	0	-2	6.20355
0.0005	0	-2	6.20342
0.0005	0	-2	6.20332
0.0005	0	-2	6.20326
0.0005	0	-2	6.20323
0.0005	0	-2	6.20323
0.0005	0	-2	6.20325
0.0005	0	-2	6.20329
0.0005	0	-2	6.20335
0.0005	0	-2	6.20285
0.0005	0	-2	6.20237
0.0005	0	-2	6.20191
0.0005	0	-2	6.20148
0.0005	0	-2	6.20109
0.0005	0	-2	6.20074
0.0005	0	-2	6.20044
0.0005	0	-2	6.20020
0.0005	0	-2	6.20000
0.0005	0	-2	6.19986
0.0005	0	-2	6.19977
0.0005	0	-2	6.19975
0.0005	0	-2	6.19977
0.0005	0	-2	6.19985
0.0005	0	-2	6.19997
0.0005	0	-2	6.20015
0.0005	0	-2	6.20036
0.0005	0	-2	6.20061
0.0005	0	-2	6.20088
0.0005	0	-2	6.20118
0.0005	0	-2	6.20096
0.0005	0	-2	6.20075
0.0005	0	-2	6.20057
0.0005	0	-2	6.20041
0.0005	0	-2	6.20029
0.0005	0	-2	6.20019
0.0005	0	-2	6.20012
0.0005	0	-2	6.20009
0.0005	0	-2	6.20009
0.0005	0	-2	6.20012
0.0005	0	-2	6.20018
0.0005	0	-2	6.20027
0.0005	0	-2	6.20038
0.0005	0	-2	6.20051
0.0005	0	-2	6.20066
0.0005	0	-2	6.20081
0.0005	0	-2	6.20098
0.0005	0	-2	6.20114
0.0005	0	-2	6.20129
0.0005	0	-2	6.20143
0.0005	0	-2	6.20091
0.0005	0	-2	6.20037
0.0005	0	-2	6.19983
0.0005	0	-2	6.19929
0.0005	0	-2	6.19876
0.0005	0	-2	6.19825
0.0005	0	-2	6.19776
0.0005	0	-2	6.19729
0.0005	0	-2	6.19686
0.0005	0	-2	6.19647
0.0005	0	-2	6.19611
0.0005	0	-2	6.19580
0.0005	0	-2	6.19552
0.0005	0	-2	6.19529
0.0005	0	-2	6.19511
0.0005	0	-2	6.19496
0.0005	0	-2	6.19485
0.0005	0	-2	6.19477
0.0005	0	-2	6.19473
0.0005	0	-2	6.19471
0.0005	0	-2	6.19423
0.0005	0	-2	6.19377
0.0005	0	-2	6.19335
0.0005	0	-2	6.19296
0.0005	0	-2	6.19260
0.0005	0	-2	6.19228
0.0005	0	-2	6.19199
0.0005	0	-2	6.19175
0.0005	0	-2	6.19154
0.0005	0	-2	6.19136
0.0005	0	-2	6.19122
0.0005	0	-2	6.19110
0.0005	0	-2	6.19101
0.0005	0	-2	6.19095
0.0005	0	-2	6.19089
0.0005	0	-2	6.19085
0.0005	0	-2	6.19080
0.0005	0	-2	6.19076
0.0005	0	-2	6.19070
0.0005	0	-2	6.19063
0.0005	0	-2	6.18985
0.0005	0	-2	6.18906
0.0005	0	-2	6.18826
0.0005	0	-2	6.18746
0.0005	0	-2	6.18667
0.0005	0	-2	6.18589
0.0005	0	-2	6.18512
0.0005	0	-2	6.18439
0.0005	0	-2	6.18368
0.0005	0	-2	6.18302
0.0005	0	-2	6.18239
0.0005	0	-2	6.18180
0.0005	0	-2	6.18127
0.0005	0	-2	6.18078
0.0005	0	-2	6.18034
0.0005	0	-2	6.17995
0.0005	0	-2	6.17960
0.0005	0	-2	6.17930
0.0005	0	-2	6.17905
0.0005	0	-2	6.17884
0.0005	0	-2	6.17818
0.0005	0	-2	6.17756
0.0005	0	-2	6.17699
0.0005	0	-2	6.17648
0.0005	0	-2	6.17602
0.0005	0	-2	6.17563
0.0005	0	-2	6.17530
0.0005	0	-2	6.17503
0.0005	0	-2	6.17483
0.0005	0	-2	6.17470
0.0005	0	-2	6.17464
0.0005	0	-2	6.17463
0.0005	0	-2	6.17468
0.0005	0	-2	6.17479
0.0005	0	-2	6.17495
0.0005	0	-2	6.17515
0.0005	0	-2	6.17539
0.0005	0	-2	6.17566
0.0005	0	-2	6.17596
0.0005	0	-2	6.17627
0.0005	0	-2	6.17595
0.0005	0	-2	6.17564
0.0005	0	-2	6.17535
0.0005	0	-2	6.17508
0.0005	0	-2	6.17485
0.0005	0	-2	6.17466
0.0005	0	-2	6.17450
0.0005	0	-2	6.17439
0.0005	0	-2	6.17432
0.0005	0	-2	6.17431
0.0005	0	-2	6.17434
0.0005	0	-2	6.17443
0.0005	0	-2	6.17456
0.0005	0	-2	6.17474
0.0005	0	-2	6.17498
0.0005	0	-2	6.17525
0.0005	0	-2	6.17557
0.0005	0	-2	6.17592
0.0005	0	-2	6.17631
0.0005	0	-2	6.17673
0.0005	0	-2	6.17664
0.0005	0	-2	6.17658
0.0005	0	-2	6.17656
0.0005	0	-2	6.17656
0.0005	0	-2	6.17661
0.0005	0	-2	6.17671
0.0005	0	-2	6.17684
0.0005	0	-2	6.17703
0.0005	0	-2	6.17726
0.0005	0	-2	6.17754
0.0005	0	-2	6.17786
0.0005	0	-2	6.17823
0.0005	0	-2	6.17864
0.0005	0	-2	6.17909
0.0005	0	-2	6.17957
0.0005	0	-2	6.18008
0.0005	0	-2	6.18062
0.0005	0	-2	6.18117
0.0005	0	-2	6.18173
0.0005	0	-2	6.18230
0.0005	0	-2	6.18225
0.0005	0	-2	6.18220
0.0005	0	-2	6.18216
0.0005	0	-2	6.18214
0.0005	0	-2	6.18214
0.0005	0	-2	6.18216
0.0005	0	-2	6.18222
0.0005	0	-2	6.18231
0.0005	0	-2	6.18244
0.0005	0	-2	6.18262
0.0005	0	-2	6.18283
0.0005	0	-2	6.18308
0.0005	0	-2	6.18338
0.0005	0	-2	6.18372
0.0005	0	-2	6.18409
0.0005	0	-2	6.18451
0.0005	0	-2	6.18495
0.0005	0	-2	6.18543
0.0005	0	-2	6.18593
0.0005	0	-2	6.18645
0.0005	0	-2	6.18646
0.0005	0	-2	6.18648
0.0005	0	-2	6.18652
0.0005	0	-2	6.18660
0.0005	0	-2	6.18671
0.0005	0	-2	6.18685
0.0005	0	-2	6.18704
0.0005	0	-2	6.18727
0.0005	0	-2	6.18754
0.0005	0	-2	6.18785
0.0005	0	-2	6.18821
0.0005	0	-2	6.18860
0.0005	0	-2	6.18904
0.0005	0	-2	6.18951
0.0005	0	-2	6.19002
0.0005	0	-2	6.19055
0.0005	0	-2	6.19111
0.0005	0	-2	6.19168
0.0005	0	-2	6.19226
0.0005	0	-2	6.19285
0.0005	0	-2	6.19282
0.0005	0	-2	6.19280
0.0005	0	-2	6.19279
0.0005	0	-2	6.19279
0.0005	0	-2	6.19283
0.0005	0	-2	6.19289
0.0005	0	-2	6.19298
0.0005	0	-2	6.19311
0.0005	0	-2	6.19329
0.0005	0	-2	6.19351
0.0005	0	-2	6.19377
0.0005	0	-2	6.19408
0.0005	0	-2	6.19444
0.0005	0	-2	6.19484
0.0005	0	-2	6.19528
0.0005	0	-2	6.19577
0.0005	0	-2	6.19630
0.0005	0	-2	6.19686
0.0005	0	-2	6.19745
0.0005	0	-2	6.19806
0.0005	0	-2	6.19816
0.0005	0	-2	6.19828
0.0005	0	-2	6.19843
0.0005	0	-2	6.19862
0.0005	0	-2	6.19884
0.0005	0	-2	6.19910
0.0005	0	-2	6.19941
0.0005	0	-2	6.19976
0.0005	0	-2	6.20016
0.0005	0	-2	6.20060
0.0005	0	-2	6.20109
0.0005	0	-2	6.20162
0.0005	0	-2	6.20219
0.0005	0	-2	6.20279
0.0005	0	-2	6.20343
0.0005	0	-2	6.20410
0.0005	0	-2	6.20479
0.0005	0	-2	6.20549
0.0005	0	-2	6.20621
0.0005	0	-2	6.20693
0.0005	0	-2	6.20703
0.0005	0	-2	6.20713
0.0005	0	-2	6.20724
0.0005	0	-2	6.20737
0.0005	0	-2	6.20752
0.0005	0	-2	6.20769
0.0005	0	-2	6.20789
0.0005	0	-2	6.20813
0.0005	0	-2	6.20841
0.0005	0	-2	6.20872
0.0005	0	-2	6.20907
0.0005	0	-2	6.20946
0.0005	0	-2	6.20990
0.0005	0	-2	6.21037
0.0005	0	-2	6.21088
0.0005	0	-2	6.21143
0.0005	0	-2	6.21201
0.0005	0	-2	6.21261
0.0005	0	-2	6.21324
0.0005	0	-2	6.21388
0.0005	0	-2	6.21400
0.0005	0	-2	6.21413
0.0005	0	-2	6.21429
0.0005	0	-2	6.21447
0.0005	0	-2	6.21468
0.0005	0	-2	6.21493
0.0005	0	-2	6.21521
0.0005	0	-2	6.21553
0.0005	0	-2	6.21589
0.0005	0	-2	6.21628
0.0005	0	-2	6.21672
0.0005	0	-2	6.21719
0.0005	0	-2	6.21769
0.0005	0	-2	6.21822
0.0005	0	-2	6.21879
0.0005	0	-2	6.21937
0.0005	0	-2	6.21997
0.0005	0	-2	6.22058
0.0005	0	-2	6.22119
0.0005	0	-2	6.22180
0.0005	0	-2	6.22180
0.0005	0	-2	6.22179
0.0005	0	-2	6.22178
0.0005	0	-2	6.22179
0.0005	0	-2	6.22180
0.0005	0	-2	6.22184
0.0005	0	-2	6.22190
0.0005	0	-2	6.22199
0.0005	0	-2	6.22211
0.0005	0	-2	6.22226
0.0005	0	-2	6.22245
0.0005	0	-2	6.22267
0.0005	0	-2	6.22292
0.0005	0	-2	6.22321
0.0005	0	-2	6.22352
0.0005	0	-2	6.22387
0.0005	0	-2	6.22424
0.0005	0	-2	6.22464
0.0005	0	-2	6.22505
0.0005	0	-2	6.22548
0.0005	0	-2	6.22535
0.0005	0	-2	6.22524
0.0005	0	-2	6.22514
0.0005	0	-2	6.22508
0.0005	0	-2	6.22504
0.0005	0	-2	6.22505
0.0005	0	-2	6.22509
0.0005	0	-2	6.22518
0.0005	0	-2	6.22531
0.0005	0	-2	6.22549
0.0005	0	-2	6.22571
0.0005	0	-2	6.22599
0.0005	0	-2	6.22631
0.0005	0	-2	6.22667
0.0005	0	-2	6.22707
0.0005	0	-2	6.22751
0.0005	0	-2	6.22798
0.0005	0	-2	6.22848
0.0005	0	-2	6.22900
0.0005	0	-2	6.22953
0.0005	0	-2	6.22950
0.0005	0	-2	6.22948
0.0005	0	-2	6.22948
0.0005	0	-2	6.22951
0.0005	0	-2	6.22956
0.0005	0	-2	6.22965
0.0005	0	-2	6.22977
0.0005	0	-2	6.22994
0.0005	0	-2	6.23014
